COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS;;
"Nacional,Mensual,01/01/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",93.25866829,Índice,Cifras definitivas";;
"Nacional,Mensual,01/02/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",93.80948486,Índice,Cifras definitivas";;
"Nacional,Mensual,01/03/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",93.71958624,Índice,Cifras definitivas";;
"Nacional,Mensual,01/04/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",91.45188379,Índice,Cifras definitivas";;
"Nacional,Mensual,01/05/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",88.87270309,Índice,Cifras definitivas";;
"Nacional,Mensual,01/06/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",88.76514898,Índice,Cifras definitivas";;
"Nacional,Mensual,01/07/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",88.40132498,Índice,Cifras definitivas";;
"Nacional,Mensual,01/08/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",88.99682076,Índice,Cifras definitivas";;
"Nacional,Mensual,01/09/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",89.63330941,Índice,Cifras definitivas";;
"Nacional,Mensual,01/10/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",93.35574638,Índice,Cifras definitivas";;
"Nacional,Mensual,01/11/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",97.31198112,Índice,Cifras definitivas";;
"Nacional,Mensual,01/12/2017,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",97.94768104,Índice,Cifras definitivas";;
"Nacional,Mensual,01/01/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",99.88130833,Índice,Cifras definitivas";;
"Nacional,Mensual,01/02/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",101.1355876,Índice,Cifras definitivas";;
"Nacional,Mensual,01/03/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",101.3974646,Índice,Cifras definitivas";;
"Nacional,Mensual,01/04/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",98.93481874,Índice,Cifras definitivas";;
"Nacional,Mensual,01/05/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",97.39263837,Índice,Cifras definitivas";;
"Nacional,Mensual,01/06/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",98.88435554,Índice,Cifras definitivas";;
"Nacional,Mensual,01/07/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",99.7668509,Índice,Cifras definitivas";;
"Nacional,Mensual,01/08/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",101.1835937,Índice,Cifras definitivas";;
"Nacional,Mensual,01/09/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",102.604327,Índice,Cifras definitivas";;
"Nacional,Mensual,01/10/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",105.1368387,Índice,Cifras definitivas";;
"Nacional,Mensual,01/11/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",107.3361041,Índice,Cifras definitivas";;
"Nacional,Mensual,01/12/2018,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",106.8606775,Índice,Cifras definitivas";;
"Nacional,Mensual,01/01/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",106.1315635,Índice,Cifras definitivas";;
"Nacional,Mensual,01/02/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",106.9324589,Índice,Cifras definitivas";;
"Nacional,Mensual,01/03/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",108.3533402,Índice,Cifras definitivas";;
"Nacional,Mensual,01/04/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",105.8693,Índice,Cifras definitivas";;
"Nacional,Mensual,01/05/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",102.7500055,Índice,Cifras definitivas";;
"Nacional,Mensual,01/06/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",101.6841339,Índice,Cifras definitivas";;
"Nacional,Mensual,01/07/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",101.4936563,Índice,Cifras definitivas";;
"Nacional,Mensual,01/08/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",101.3872522,Índice,Cifras definitivas";;
"Nacional,Mensual,01/09/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",101.6758289,Índice,Cifras definitivas";;
"Nacional,Mensual,01/10/2019,""Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"",104.1754922,Índice,Cifras definitivas";;
