Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,20.718399,21.617510,20.617451,21.209999,21.209999,0
2017-01-08,21.209999,22.029449,21.189600,21.462500,21.462500,0
2017-01-15,21.462500,22.028851,21.462500,21.573099,21.573099,0
2017-01-22,21.573099,21.587299,20.854601,20.929258,20.929258,0
2017-01-29,20.879101,20.924450,20.284750,20.358307,20.358307,0
2017-02-05,20.337099,20.740499,20.240700,20.354162,20.354162,0
2017-02-12,20.329800,20.536850,20.190800,20.454081,20.454081,0
2017-02-19,20.419500,20.536249,19.595100,19.898600,19.898600,0
2017-02-26,19.898600,20.160669,19.488899,19.519814,19.519814,0
2017-03-05,19.497700,19.896500,19.427299,19.594101,19.594101,0
2017-03-12,19.594101,19.718990,19.052679,19.056700,19.056700,0
2017-03-19,19.056700,19.236650,18.736300,18.739300,18.739300,0
2017-03-26,18.739300,19.034590,18.634199,18.744143,18.744143,0
2017-04-02,18.703899,18.939251,18.608801,18.660198,18.660198,0
2017-04-09,18.601130,18.811600,18.486500,18.498699,18.498699,0
2017-04-16,18.498699,18.889351,18.447100,18.814674,18.814674,0
2017-04-23,18.795500,19.286831,18.458799,18.818216,18.818216,0
2017-04-30,18.803200,19.125179,18.661800,18.996960,18.996960,0
2017-05-07,18.936800,19.254850,18.725901,18.814674,18.814674,0
2017-05-14,18.796600,19.206450,18.584200,18.726591,18.726591,0
2017-05-21,18.700899,18.739510,18.338150,18.495100,18.495100,0
2017-05-28,18.495100,18.767550,18.427389,18.669201,18.669201,0
2017-06-04,18.669201,18.818781,18.108299,18.152201,18.152201,0
2017-06-11,18.152201,18.206310,17.886000,17.896299,17.896299,0
2017-06-18,17.896299,18.306049,17.891500,18.014772,18.014772,0
2017-06-25,17.988600,18.156179,17.794500,18.111200,18.111200,0
2017-07-02,18.111200,18.399549,18.063499,18.096272,18.096272,0
2017-07-09,18.070700,18.094860,17.515900,17.577782,17.577782,0
2017-07-16,17.548000,17.644800,17.436800,17.644800,17.644800,0
2017-07-23,17.644800,17.838051,17.543800,17.765301,17.765301,0
2017-07-30,17.765301,17.959829,17.727699,17.908310,17.908310,0
2017-08-06,17.883301,18.054850,17.764299,17.812500,17.812500,0
2017-08-13,17.812500,17.934010,17.626499,17.691700,17.691700,0
2017-08-20,17.691700,17.837160,17.573299,17.601299,17.601299,0
2017-08-27,17.601299,17.970449,17.601299,17.808300,17.808300,0
2017-09-03,17.808300,17.960251,17.598801,17.698799,17.698799,0
2017-09-10,17.698799,17.823351,17.619400,17.661604,17.661604,0
2017-09-17,17.642401,17.905491,17.596600,17.752529,17.752529,0
2017-09-24,17.731100,18.293671,17.722900,18.129080,18.129080,0
2017-10-01,18.241699,18.624451,18.126400,18.517500,18.517500,0
2017-10-08,18.514099,18.984980,18.498600,18.899599,18.899599,0
2017-10-15,18.899599,19.142059,18.714701,18.977200,18.977200,0
2017-10-22,18.977200,19.327850,18.947901,19.178600,19.178600,0
2017-10-29,19.123800,19.298941,18.900999,19.189600,19.189600,0
2017-11-05,19.189600,19.208349,18.998550,19.025551,19.025551,0
2017-11-12,19.085199,19.369020,18.888399,19.047951,19.047951,0
2017-11-19,18.902700,19.048500,18.504200,18.544901,18.544901,0
2017-11-26,18.544901,18.717350,18.436800,18.648170,18.648170,0
2017-12-03,18.613800,18.987450,18.564501,18.916300,18.916300,0
2017-12-10,18.916300,19.222549,18.892200,19.113390,19.113390,0
2017-12-17,19.109900,19.756849,18.990200,19.716999,19.716999,0
2017-12-24,19.716999,19.900700,19.537800,19.655800,19.655800,0
2017-12-31,19.655800,19.661501,19.158300,19.306971,19.306971,0
2018-01-07,19.160299,19.428450,18.981100,19.020000,19.020000,0
2018-01-14,19.020000,19.050831,18.533100,18.586901,18.586901,0
2018-01-21,18.602200,18.876820,18.318830,18.609480,18.609480,0
2018-01-28,18.453501,18.779470,18.297600,18.576599,18.576599,0
2018-02-04,18.576599,18.966181,18.507299,18.689699,18.689699,0
2018-02-11,18.689699,18.774599,18.421900,18.505100,18.505100,0
2018-02-18,18.505100,18.861691,18.448000,18.520100,18.520100,0
2018-02-25,18.541401,18.973129,18.533199,18.796101,18.796101,0
2018-03-04,18.796101,18.959209,18.500601,18.625000,18.625000,0
2018-03-11,18.613701,18.759850,18.488400,18.687300,18.687300,0
2018-03-18,18.693701,18.840981,18.390800,18.511200,18.511200,0
2018-03-25,18.511200,18.539660,18.143999,18.146400,18.146400,0
2018-04-01,18.146400,18.352240,18.046000,18.273100,18.273100,0
2018-04-08,18.274000,18.392151,18.030399,18.171200,18.171200,0
2018-04-15,18.030399,18.683620,17.930500,18.446930,18.446930,0
2018-04-22,18.512800,19.137770,18.512800,18.758301,18.758301,0
2018-04-29,18.601700,19.279930,18.600500,19.045900,19.045900,0
2018-05-06,19.045700,19.696341,19.021500,19.407400,19.407400,0
2018-05-13,19.407200,19.972071,19.290501,19.748699,19.748699,0
2018-05-20,19.937799,20.030050,19.484600,19.566401,19.566401,0
2018-05-27,19.528000,20.044750,19.439301,19.903500,19.903500,0
2018-06-03,19.924400,20.646999,19.848000,20.417700,20.417700,0
2018-06-10,20.276699,20.958361,20.262300,20.838600,20.838600,0
2018-06-17,20.612301,20.774900,19.986300,20.310301,20.310301,0
2018-06-24,20.324850,20.333799,19.560961,19.729300,19.729300,0
2018-07-01,19.897301,20.190149,19.030001,19.029900,19.029900,0
2018-07-08,19.030001,19.274250,18.752199,18.969690,18.969690,0
2018-07-15,18.872299,19.160151,18.764200,19.035530,19.035530,0
2018-07-22,19.008200,19.163481,18.518999,18.632401,18.632401,0
2018-07-29,18.613100,18.757700,18.484501,18.634001,18.634001,0
2018-08-05,18.541201,19.057650,18.393499,18.721500,18.721500,0
2018-08-12,18.896299,19.369850,18.846201,19.007500,19.007500,0
